UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 08:11 ?        00:00:00 /sbin/init splash
root           2       0  0 08:11 ?        00:00:00 [kthreadd]
root           3       2  0 08:11 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 08:11 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 08:11 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 08:11 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 08:11 ?        00:00:00 [kworker/R-netns]
root           9       2  0 08:11 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 08:11 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 08:11 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 08:11 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 08:11 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 08:11 ?        00:00:07 [rcu_sched]
root          17       2  0 08:11 ?        00:00:00 [migration/0]
root          18       2  0 08:11 ?        00:00:00 [idle_inject/0]
root          19       2  0 08:11 ?        00:00:00 [cpuhp/0]
root          20       2  0 08:11 ?        00:00:00 [cpuhp/2]
root          21       2  0 08:11 ?        00:00:00 [idle_inject/2]
root          22       2  0 08:11 ?        00:00:00 [migration/2]
root          23       2  0 08:11 ?        00:00:00 [ksoftirqd/2]
root          25       2  0 08:11 ?        00:00:00 [kworker/2:0H-events_highpri]
root          26       2  0 08:11 ?        00:00:00 [cpuhp/4]
root          27       2  0 08:11 ?        00:00:00 [idle_inject/4]
root          28       2  0 08:11 ?        00:00:00 [migration/4]
root          29       2  0 08:11 ?        00:00:00 [ksoftirqd/4]
root          31       2  0 08:11 ?        00:00:00 [kworker/4:0H-events_highpri]
root          32       2  0 08:11 ?        00:00:00 [cpuhp/6]
root          33       2  0 08:11 ?        00:00:00 [idle_inject/6]
root          34       2  0 08:11 ?        00:00:00 [migration/6]
root          35       2  0 08:11 ?        00:00:00 [ksoftirqd/6]
root          37       2  0 08:11 ?        00:00:00 [kworker/6:0H-events_highpri]
root          38       2  0 08:11 ?        00:00:00 [cpuhp/1]
root          39       2  0 08:11 ?        00:00:00 [idle_inject/1]
root          40       2  0 08:11 ?        00:00:00 [migration/1]
root          41       2  0 08:11 ?        00:00:00 [ksoftirqd/1]
root          43       2  0 08:11 ?        00:00:00 [kworker/1:0H-events_highpri]
root          44       2  0 08:11 ?        00:00:00 [cpuhp/3]
root          45       2  0 08:11 ?        00:00:00 [idle_inject/3]
root          46       2  0 08:11 ?        00:00:00 [migration/3]
root          47       2  0 08:11 ?        00:00:00 [ksoftirqd/3]
root          49       2  0 08:11 ?        00:00:00 [kworker/3:0H-events_highpri]
root          50       2  0 08:11 ?        00:00:00 [cpuhp/5]
root          51       2  0 08:11 ?        00:00:00 [idle_inject/5]
root          52       2  0 08:11 ?        00:00:00 [migration/5]
root          53       2  0 08:11 ?        00:00:00 [ksoftirqd/5]
root          54       2  0 08:11 ?        00:00:01 [kworker/5:0-events]
root          55       2  0 08:11 ?        00:00:00 [kworker/5:0H-events_highpri]
root          56       2  0 08:11 ?        00:00:00 [cpuhp/7]
root          57       2  0 08:11 ?        00:00:00 [idle_inject/7]
root          58       2  0 08:11 ?        00:00:00 [migration/7]
root          59       2  0 08:11 ?        00:00:00 [ksoftirqd/7]
root          61       2  0 08:11 ?        00:00:00 [kworker/7:0H-events_highpri]
root          62       2  0 08:11 ?        00:00:00 [kdevtmpfs]
root          63       2  0 08:11 ?        00:00:00 [kworker/R-inet_]
root          65       2  0 08:11 ?        00:00:00 [kauditd]
root          66       2  0 08:11 ?        00:00:00 [khungtaskd]
root          67       2  0 08:11 ?        00:00:00 [oom_reaper]
root          69       2  0 08:11 ?        00:00:00 [kworker/R-write]
root          70       2  0 08:11 ?        00:00:01 [kcompactd0]
root          71       2  0 08:11 ?        00:00:00 [ksmd]
root          72       2  0 08:11 ?        00:00:01 [khugepaged]
root          73       2  0 08:11 ?        00:00:00 [kworker/R-kinte]
root          74       2  0 08:11 ?        00:00:00 [kworker/R-kbloc]
root          75       2  0 08:11 ?        00:00:00 [kworker/R-blkcg]
root          76       2  0 08:11 ?        00:00:00 [irq/9-acpi]
root          77       2  0 08:11 ?        00:00:01 [kworker/1:1-cgroup_destroy]
root          78       2  0 08:11 ?        00:00:01 [kworker/3:1-events]
root          84       2  0 08:11 ?        00:00:00 [kworker/R-tpm_d]
root          85       2  0 08:11 ?        00:00:00 [kworker/R-ata_s]
root          86       2  0 08:11 ?        00:00:00 [kworker/R-md]
root          87       2  0 08:11 ?        00:00:00 [kworker/R-md_bi]
root          88       2  0 08:11 ?        00:00:00 [kworker/R-edac-]
root          89       2  0 08:11 ?        00:00:00 [kworker/R-hv_vm]
root          90       2  0 08:11 ?        00:00:00 [kworker/R-hv_vm]
root          91       2  0 08:11 ?        00:00:00 [kworker/R-hv_pr]
root          92       2  0 08:11 ?        00:00:00 [kworker/R-hv_su]
root          93       2  0 08:11 ?        00:00:00 [kworker/R-devfr]
root          94       2  0 08:11 ?        00:00:00 [watchdogd]
